,JOB_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_POSTAL_CODE,PW_WAGE_LEVEL,YEAR,Cost of Living Plus Rent Index,ADJUSTED_P_WAGE,ENGINEER_TITLE,EMPLOYER_SIZE,SF,LA
197,BIG DATA ENGINEER,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94105,2,2019,98.6,122796.1,1,large,1,0
198,SOFTWARE ENGINEER - DATA PLATFORM,"STITCH FIX, INC.",SAN FRANCISCO,94104,4,2019,98.6,159945.2,1,medium,1,0
199,SENIOR DATA ENGINEER,"NERDWALLET, INC.",SAN FRANCISCO,94103,3,2019,98.6,149692.7,1,medium,1,0
200,LEAD BIG DATA ENGINEER,"CLOUDFLARE, INC.",SAN FRANCISCO,94107,4,2019,98.6,176589.2,1,medium,1,0
201,"DATA ENGINEER, DATA PLATFORM","ZENDESK, INC.",SAN FRANCISCO,94103,1,2019,98.6,95899.6,1,large,1,0
202,LEAD BIGDATA ENGINEER,APTIVA CORP,SAN FRANCISCO,94105,2,2019,98.6,122796.1,1,large,1,0
203,DATA SCIENTIST,CONTEXTLOGIC INC.,SAN FRANCISCO,94104,2,2019,98.6,122796.1,0,medium,1,0
204,"SENIOR DATA ENGINEER, DATA WAREHOUSE",QUANTCAST CORPORATION,SAN FRANCISCO,94107,3,2019,98.6,149692.7,1,large,1,0
205,"SOFTWARE ENGINEER, DATA PLATFORM","ZENDESK, INC.",SAN FRANCISCO,94103,2,2019,98.6,120137.9,1,large,1,0
206,SENIOR DATABASE ENGINEER,S&P GLOBAL MARKET INTELLIGENCE INC.,NEW YORK,10041,3,2019,100.0,117624.0,1,medium,0,0
207,FRONT OFFICE DATA INTEGRATION DEVELOPER,PARAMOUNT GLOBAL SOLUTIONS INC,NEW YORK,10017,2,2019,100.0,96366.0,0,small,0,0
208,SENIOR DATA INFRASTRUCTURE ENGINEER,GM CRUISE LLC,SAN FRANCISCO,94103,3,2019,98.6,149692.7,1,small,1,0
209,SENIOR DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10011,2,2019,100.0,96366.0,1,medium,0,0
210,DATA VISUALIZATION DEVELOPER,"DROPBOX, INC.",SAN FRANCISCO,94107,2,2019,98.6,122796.1,0,medium,1,0
211,DATA SCIENTIST,COATUE MANAGEMENT LLC,NEW YORK,10019,3,2019,100.0,117624.0,0,large,0,0
212,DATA SCIENTIST,COATUE MANAGEMENT LLC,NEW YORK,10019,3,2019,100.0,117624.0,0,large,0,0
213,LEAD DATA SCIENTIST,"HOME BOX OFFICE, INC.",NEW YORK,10036,4,2019,100.0,138861.0,0,large,0,0
214,DATABASE ENGINEER II,"S&P GLOBAL MARKET INTELLIGENCE, INC.",NEW YORK,10041,2,2019,100.0,96366.0,1,small,0,0
215,BIG DATA HADOOP DEVELOPER,I28TECHNOLOGIES CORPORATION,NEW YORK,10041,2,2019,100.0,96366.0,0,medium,0,0
216,DATA ENGINEER,PROJECT APPLECART LLC,NEW YORK,10018,2,2019,100.0,96366.0,1,medium,0,0
217,DATA ENGINEER,"PAYJOY, INC.",SAN FRANCISCO,94107,2,2019,98.6,122796.1,1,small,1,0
218,BIG DATA HADOOP DEVELOPER,I28TECHNOLOGIES CORPORATION,NEW YORK,10041,2,2019,100.0,96366.0,0,medium,0,0
219,SENIOR DATA ENGINEER,NEUSTAR INFORMATION SERVICES,LOS ANGELES,90025,2,2019,73.9,123673.9,1,medium,0,1
220,ASSISTANT DIRECTOR - DATA OPERATIONS,"MOODY'S ANALYTICS, INC.",SAN FRANCISCO,94105,1,2019,98.6,95899.6,0,large,1,0
221,SENIOR DATA SOFTWARE ENGINEER,"STANDARD & POOR'S FINANCIAL SERVICES, LLC",NEW YORK,10041,3,2019,100.0,117624.0,1,medium,0,0
222,DATA ENGINEER,LENDINGCLUB CORPORATION,SAN FRANCISCO,94105,2,2019,98.6,122796.1,1,small,1,0
223,"SOFTWARE ENGINEER, BIG DATA",LENDINGCLUB CORPORATION,SAN FRANCISCO,94105,3,2019,98.6,149692.7,1,small,1,0
224,DATABASE ENGINEER I,"S&P GLOBAL MARKET INTELLIGENCE, INC.",NEW YORK,10041,1,2019,100.0,75130.0,1,small,0,0
225,SENIOR DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",SAN FRANCISCO,94103,2,2019,98.6,122796.1,1,medium,1,0
226,"FULL STACK DATA ENGINEER, AUDIENCES","ADROLL, INC.",SAN FRANCISCO,94110,2,2019,98.6,122796.1,1,large,1,0
227,DATA TECHNOLOGY ANALYST,"KEYRUS USA, INC.",NEW YORK,10018,1,2019,100.0,75130.0,0,large,0,0
228,BIG DATA ENGINEER,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,2,2019,98.6,122796.1,1,large,1,0
229,"ANALYST, DATA ENGINEER","JEFFERIES INVESTMENT ADVISERS, LLC",NEW YORK,10022,2,2019,100.0,96366.0,1,small,0,0
230,SOFTWARE DEVELOPER (BIG DATA),I2 IT SOLUTIONS INC,NEW YORK,10285,2,2019,100.0,96366.0,0,small,0,0
231,SENIOR DATAFEED APPLICATION SPECIALIST,"S&P GLOBAL MARKET INTELLIGENCE, INC.",NEW YORK,10041,2,2019,100.0,96366.0,0,small,0,0
232,DATA ENGINEER,"PARSEC MEDIA, INC.",NEW YORK,10001,1,2019,100.0,75130.0,1,medium,0,0
233,DATA ENGINEER(BI DEVELOPER),"RALLY HEALTH, INC.",SAN FRANCISCO,94107,2,2019,98.6,122796.1,1,large,1,0
234,DATABASE ENGINEER II,"S&P GLOBAL MARKET INTELLIGENCE, INC.",NEW YORK,10041,1,2019,100.0,75130.0,1,small,0,0
235,DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
236,DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
237,DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
238,SENIOR DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
239,DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
240,DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
241,DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
242,"SENIOR DATA SCIENTIST, CUSTOMER ANALYTICS","FUNDING CIRCLE USA, INC.",SAN FRANCISCO,94111,2,2019,98.6,122796.1,0,large,1,0
243,"MANAGING DIRECTOR, DATABASE OPERATIONS",TEACH FOR AMERICA,NEW YORK,10004,2,2019,100.0,96366.0,0,medium,0,0
244,DATA ENGINEER,KEANE SOFT INC.,NEW YORK,10005,2,2019,100.0,96366.0,1,small,0,0
245,DATA ANALYST,NEW YORK COUNTY HEALTH SERVICE REVIEW ORGANIZATION,NEW YORK,10038,2,2019,100.0,96366.0,0,large,0,0
246,SENIOR ETL DATA INTEGRATION DEVELOPER,LOCAL INITIATIVE HEALTH AUTHORITY FOR LOS ANGELES COUNTY,LOS ANGELES,90017,3,2019,73.9,150581.9,0,medium,0,1
247,DATABASE DEVELOPER,"PARALLAX VOLATILITY ADVISERS, LP",SAN FRANCISCO,94108,3,2019,98.6,149692.7,0,medium,1,0
248,BIG DATA ENGINEER,"MADISON LOGIC, INC.",NEW YORK,10010,2,2019,100.0,96366.0,1,medium,0,0
249,DATA ENGINEER,"PROSPER MARKETPLACE, INC.",SAN FRANCISCO,94105,3,2019,98.6,149692.7,1,large,1,0
250,DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
251,DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
252,DATA ANALYST,NEW YORK COUNTY HEALTH SERVICE REVIEW ORGANIZATION,NEW YORK,10038,2,2019,100.0,96366.0,0,large,0,0
253,BIG DATA ENGINEER,AXS GROUP LLC,LOS ANGELES,90015,2,2019,73.9,123673.9,1,medium,0,1
254,"SENIOR DATA ENGINEER, ANALYTICS","HYPERLOOP TECHNOLOGIES, INC.",LOS ANGELES,90021,4,2019,73.9,177461.4,1,small,0,1
255,DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",NEW YORK,10171,2,2019,100.0,96366.0,1,medium,0,0
256,BI DATA DEVELOPER,RE:CODE SOLUTIONS LLC,SAN FRANCISCO,94158,2,2019,98.6,122796.1,0,medium,1,0
257,BIG DATA HADOOP/SPARK DEVELOPER,BI LABS INC,NEW YORK,10006,3,2019,100.0,117624.0,0,large,0,0
258,SENIOR DATA ENGINEER,"PUBLICIS MEDIA, INC.",NEW YORK,10014,2,2019,100.0,96366.0,1,medium,0,0
259,DATA SCIENTIST,"BLUESHIFT LABS, INC.",SAN FRANCISCO,94104,2,2019,98.6,122796.1,0,small,1,0
260,SOFTWARE / DATA ENGINEER,SIMPLE CONTACTS INC.,NEW YORK,10010,2,2019,100.0,96366.0,1,large,0,0
261,SENIOR DATA ENGINEER,"DATABRICKS, INC.",SAN FRANCISCO,94105,4,2019,98.6,176589.2,1,medium,1,0
262,DATABASE ENGINEER,"CLOUDFLARE, INC.",SAN FRANCISCO,94107,3,2019,98.6,149692.7,1,medium,1,0
263,BIGDATA ENGINEER,TEK LEADERS INC,NEW YORK,10281,2,2019,100.0,96366.0,1,small,0,0
264,SENIOR DATA ENGINEER,"SPOTIFY USA, INC.",NEW YORK,10007,2,2019,100.0,96366.0,1,small,0,0
265,DATA ENGINEER,WE WORK MANAGEMENT LLC,NEW YORK,10011,2,2019,100.0,96366.0,1,medium,0,0
266,DATA ENGINEERING ASSOCIATE,CITADEL AMERICAS LLC,NEW YORK,10022,3,2019,100.0,117624.0,1,small,0,0
267,LEAD DATA ENGINEER,"THE BOSTON CONSULTING GROUP, INC.",NEW YORK,10001,4,2019,100.0,138861.0,1,large,0,0
268,DATABASE DEVELOPER,"DOTCOM TEAM, LLC",NEW YORK,10022,3,2019,100.0,117624.0,0,medium,0,0
269,"SENIOR SOFTWARE ENGINEER, DATA INFRASTRUCTURE",GM CRUISE LLC,SAN FRANCISCO,94103,4,2019,98.6,176589.2,1,small,1,0
270,MASTER DATA ENGINEER,"CAPITAL ONE SERVICES, LLC",SAN FRANCISCO,94103,2,2019,98.6,122796.1,1,medium,1,0
271,DATA ENGINEER,"SOFTVISION, LLC",NEW YORK,10282,2,2019,100.0,96366.0,1,small,0,0
272,LEAD DATA ENGINEER,"THE BOSTON CONSULTING GROUP, INC.",NEW YORK,10001,4,2019,100.0,138861.0,1,large,0,0
273,SENIOR DATA ENGINEER - II,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94158,2,2019,98.6,122796.1,1,large,1,0
274,DATA WAREHOUSE DEVELOPER,"EXODUSPOINT CAPITAL MANAGEMENT, LP",NEW YORK,10022,4,2019,100.0,138861.0,0,medium,0,0
275,DATA MODELER & SQL DEVELOPER,"GLOBALPOINT, INC.",NEW YORK,10036,3,2019,100.0,117624.0,0,medium,0,0
276,DATABASE ENGINEER II,"S&P GLOBAL MARKET INTELLIGENCE, INC.",NEW YORK,10041,2,2019,100.0,96366.0,1,small,0,0
277,DATA ENGINEER,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,94105,2,2019,98.6,122796.1,1,large,1,0
278,DATA ENGINEER,SCHOLASTIC INC.,NEW YORK,10001,3,2019,100.0,117624.0,1,large,0,0
279,DATA ANALYTICS ENGINEER,KAPLAN INC.,NEW YORK,10017,3,2019,100.0,117624.0,1,medium,0,0
280,"SOFTWARE ENGINEER, DATA INFRASTRUCTURE",GM CRUISE LLC,SAN FRANCISCO,94103,2,2019,98.6,122796.1,1,small,1,0
281,DATA ENGINEER,WE WORK MANAGEMENT LLC,NEW YORK,10011,3,2019,100.0,117624.0,1,medium,0,0
282,SR. SOFTWARE DATA ENGINEER,"TWITTER, INC.",SAN FRANCISCO,94103,4,2019,98.6,176589.2,1,small,1,0
283,"MTS 1, DATABASE ENGINEERING","STUBHUB, INC.",SAN FRANCISCO,94105,3,2019,98.6,149692.7,1,medium,1,0
284,"MANAGING DIRECTOR, DATABASE OPERATIONS",TEACH FOR AMERICA,NEW YORK,10004,2,2019,100.0,96366.0,0,medium,0,0
285,SENIOR DATA ENGINEER,"HACHETTE BOOK GROUP, INC.",NEW YORK,10104,3,2019,100.0,117624.0,1,large,0,0
286,ENGINEERING TEAM LEAD - DATA PLATFORMS,"SQUARESPACE, INC.",NEW YORK,10014,4,2019,100.0,138861.0,1,large,0,0
287,DATA ENGINEER,"SPOTIFY USA, INC.",NEW YORK,10007,3,2019,100.0,117624.0,1,small,0,0
288,CLOUD DATA ENGINEER 1615.49294,GOOGLE LLC,SAN FRANCISCO,94105,4,2019,98.6,176589.2,1,large,1,0
289,"MANAGING DIRECTOR, DATABASE OPERATIONS",TEACH FOR AMERICA,NEW YORK,10004,2,2019,100.0,96366.0,0,medium,0,0
290,PRINCIPAL DATA ENGINEER,LENDINGCLUB CORPORATION,SAN FRANCISCO,94105,3,2019,98.6,149692.7,1,small,1,0
291,SENIOR ORACLE DATABASE DEVELOPER,RESOURCE LOGISTICS INC,NEW YORK,10010,3,2019,100.0,117624.0,0,small,0,0
292,DATA ENGINEERING ANALYST,ACCENTURE LLP,NEW YORK,10017,2,2019,100.0,96366.0,1,large,0,0
293,"MANAGING DIRECTOR, DATABASE OPERATIONS",TEACH FOR AMERICA,NEW YORK,10004,3,2019,100.0,117624.0,0,medium,0,0
294,DATA ENGINEER,WE WORK MANAGEMENT LLC,SAN FRANCISCO,94111,3,2019,98.6,149692.7,1,medium,1,0
295,"SENIOR SOFTWARE ENGINEER, DATA INFRASTRUCTURE (JAVA)","SQUARE, INC.",SAN FRANCISCO,94103,3,2019,98.6,149692.7,1,medium,1,0
296,"SENIOR DATABASE ARCHITECT, BITBUCKET CLOUD","ATLASSIAN, INC.",SAN FRANCISCO,94104,2,2019,98.6,122796.1,0,large,1,0
297,"SENIOR SOFTWARE ENGINEER, DATA INFRASTRUCTURE",GM CRUISE LLC,SAN FRANCISCO,94103,2,2019,98.6,122796.1,1,small,1,0
298,CLOUD DATA ENGINEER 1615.49294,GOOGLE LLC,SAN FRANCISCO,94105,4,2019,98.6,176589.2,1,large,1,0
299,DATA ENGINEER,"PAYJOY, INC",SAN FRANCISCO,94107,2,2019,98.6,122796.1,1,medium,1,0
300,PRINCIPAL DATA ENGINEER,"ACTIVISION BLIZZARD MEDIA, LLC",SAN FRANCISCO,94105,4,2019,98.6,176589.2,1,small,1,0
301,LEAD DATABASE ENGINEER,"S&P OPCO, LLC",NEW YORK,10041,3,2019,100.0,117624.0,1,large,0,0
302,LEAD DATA ENGINEER - II,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94105,2,2019,98.6,122796.1,1,large,1,0
303,SENIOR BIG DATA DEVOPS ENGINEER,LENDINGCLUB CORPORATION,SAN FRANCISCO,94105,3,2019,98.6,149692.7,1,small,1,0
304,LEAD DATA ENGINEER - I,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,2,2019,98.6,122796.1,1,large,1,0
305,DATA SCIENTIST,BLINK HEALTH GROUP LLC,NEW YORK,10012,4,2019,100.0,138861.0,0,small,0,0
306,SENIOR DATA ENGINEER,LENDINGCLUB CORPORATION,SAN FRANCISCO,94105,3,2019,98.6,149692.7,1,small,1,0
307,DATA ENGINEER,"ABOUT, INC.",NEW YORK,10036,2,2019,100.0,96366.0,1,large,0,0
308,DATA ENGINEER,"YIELDMO, INC.",NEW YORK,10011,3,2019,100.0,117021.0,1,medium,0,0
309,"SOFTWARE ENGINEER, DATA PLATFORMS","STITCH FIX, INC.",SAN FRANCISCO,94104,4,2019,98.6,171357.0,1,medium,1,0
310,DATA ANALYST,MELTWATER NEWS US1 INC.,SAN FRANCISCO,94104,2,2019,98.6,120813.4,0,medium,1,0
311,SENIOR DATA ENGINEER I,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,2,2019,98.6,120813.4,1,large,1,0
312,LEAD DATA ENGINEER,LENDINGCLUB CORPORATION,SAN FRANCISCO,94105,4,2019,98.6,171357.0,1,small,1,0
313,DATA WAREHOUSE DEVELOPER - EXPERT,"ATHREYA, INC",NEW YORK,10016,2,2019,100.0,96595.0,0,small,0,0
314,"PRINCIPAL DATA ENGINEER, BUSINESS INTELLIGENCE","YIELDMO, INC.",NEW YORK,10011,4,2019,100.0,137426.0,1,medium,0,0
315,DATABASE DEVELOPER II,VERACITY SOFTWARE INC,NEW YORK,10167,2,2019,100.0,96595.0,0,large,0,0
316,SENIOR DATA ANALYST,BLINK HEALTH GROUP LLC,NEW YORK,10012,3,2019,100.0,117021.0,0,small,0,0
317,SENIOR DATA ENGINEER,"VIDEOAMP, INC.",LOS ANGELES,90064,4,2019,73.9,183878.2,1,small,0,1
318,DATA ENGINEER,TAKE-TWO INTERACTIVE SOFTWARE INC.,NEW YORK,10036,4,2019,100.0,137426.0,1,large,0,0
319,BIG DATA ENGINEER,"STANDARD & POOR'S FINANCIAL SEVICES, LLC",NEW YORK,10041,4,2019,100.0,137426.0,1,medium,0,0
320,DATA ENGINEER,PIONEER CONSULTING SERVICES LLC,SAN FRANCISCO,94107,1,2019,98.6,95540.6,1,small,1,0
321,SENIOR DATABASE ENGINEER,"BOX, INC.",LOS ANGELES,90025,4,2019,73.9,183878.2,1,medium,0,1
322,DATA PIPELINE ENGINEER,"ROCKERBOX, INC.",NEW YORK,10013,2,2019,100.0,96595.0,1,medium,0,0
323,SENIOR DATA ENGINEER I,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,2,2019,98.6,120813.4,1,large,1,0
324,DATA ENGINEER,"CHARTBOOST, INC.",SAN FRANCISCO,94104,2,2019,98.6,72546.7,1,medium,1,0
325,SR. DATA ENGINEER,AETNA RESOURCES LLC,NEW YORK,10013,3,2019,100.0,117021.0,1,medium,0,0
326,SENIOR DATA ENGINEER,"UNQORK, INC.",NEW YORK,10011,4,2019,100.0,137426.0,1,large,0,0
327,SENIOR DATA ENGINEER - II,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94158,2,2019,98.6,120813.4,1,large,1,0
328,SENIOR DATA ENGINEER I,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,2,2019,98.6,120813.4,1,large,1,0
329,DATA MODELER & SQL DEVELOPER,"GLOBALPOINT, INC.",NEW YORK,10038,3,2019,100.0,117021.0,0,medium,0,0
330,SENIOR DATA ENGINEER - II,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94158,2,2019,98.6,120813.4,1,large,1,0
331,LEAD DATA ENGINEER I,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,2,2019,98.6,120813.4,1,large,1,0
332,SENIOR DATA ENGINEER,HOME BOX OFFICE INC.,NEW YORK,10001,4,2019,100.0,137426.0,1,small,0,0
333,DATA ENGINEER,"SHUTTERSTOCK, INC.",NEW YORK,10118,2,2019,100.0,96595.0,1,large,0,0
334,"SOFTWARE ENGINEER, DATA PLATFORM",UNITY TECHNOLOGIES SF,SAN FRANCISCO,94103,1,2019,98.6,95540.6,1,medium,1,0
335,DATA PLATFORM ENGINEER,"STITCH FIX, INC.",SAN FRANCISCO,94104,4,2019,98.6,171357.0,1,medium,1,0
336,BIG DATA ENGINEER,CAPRUS IT INC,NEW YORK,10281,2,2019,100.0,96595.0,1,large,0,0
337,LEAD DATA ENGINEER I,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,2,2019,98.6,120813.4,1,large,1,0
338,PRINCIPAL DATA WAREHOUSE ENGINEER III,LOCAL INITIATIVE HEALTH AUTHORITY FOR LOS ANGELES COUNTY,LOS ANGELES,90017,4,2019,73.9,183878.2,1,medium,0,1
339,LEAD DATA ENGINEER II,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,2,2019,98.6,120813.4,1,large,1,0
340,LEAD DATA ENGINEER II,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94105,2,2019,98.6,120813.4,1,large,1,0
341,DATA ENGINEER II,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94158,1,2019,98.6,95540.6,1,large,1,0
342,SENIOR DATA ENGINEER I,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,2,2019,98.6,120813.4,1,large,1,0
343,SENIOR INFORMATICA DATA QUALITY DEVELOPER,"BLOOMBERG, LP",NEW YORK,10017,3,2019,100.0,117021.0,0,medium,0,0
344,ETL DATA INTEGRATION DEVELOPER III,LOCAL INITIATIVE HEALTH AUTHORITY FOR LOS ANGELES COUNTY,LOS ANGELES,90017,3,2019,73.9,155479.0,0,medium,0,1
345,"SENIOR SOFTWARE ENGINEER, CUSTOMER DATA",SCHOLASTIC INC.,NEW YORK,10011,4,2019,100.0,137426.0,1,large,0,0
346,SR. DATA ENGINEER,AETNA RESOURCES LLC,NEW YORK,10013,3,2019,100.0,117021.0,1,medium,0,0
347,LEAD DATA ENGINEER,AETNA RESOURCES LLC,NEW YORK,10013,4,2019,100.0,137426.0,1,medium,0,0
348,"TECHNOLOGY CONSULTANT, DATA ARCHITECT","SLALOM, LLC",NEW YORK,10007,4,2019,100.0,137426.0,0,medium,0,0
349,IT M&A DATA ANALYST,"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,2,2019,98.6,120137.9,0,small,1,0
350,"SENIOR CONSULTANT, BIG DATA / ANALYTICS","AMAZON WEB SERVICES, INC.",SAN FRANCISCO,94111,3,2019,98.6,140051.7,0,large,1,0
351,ASSOCIATE PRODUCT DATA ENGINEER,"SLACK TECHNOLOGIES, INC.",SAN FRANCISCO,94105,2,2019,98.6,120137.9,1,medium,1,0
352,IT M&A DATA ANALYST,"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,2,2019,98.6,120137.9,0,small,1,0
353,"SOFTWARE ENGINEER, DATA PLATFORM","ZENDESK, INC.",SAN FRANCISCO,94103,2,2019,98.6,120137.9,1,large,1,0
354,ORACLE DATABASE CLOUD ARCHITECT,"AMAZON WEB SERVICES, INC.",NEW YORK,10001,2,2019,100.0,99736.0,0,large,0,0
355,BUSINESS DATA CONSULTANT,"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,2,2019,98.6,120137.9,0,small,1,0
356,DATA ENGINEER,"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,3,2019,98.6,140051.7,1,small,1,0
357,LEAD DATA ENGINEER,TURO INC.,SAN FRANCISCO,94105,4,2019,98.6,159945.2,1,medium,1,0
358,DATA ENGINEER III,QUARTET HEALTH INC.,NEW YORK,10036,3,2019,100.0,122117.0,1,large,0,0
359,DATA ENGINEER I,"SHUTTERSTOCK, INC.",NEW YORK,10118,4,2019,100.0,144518.0,1,large,0,0
360,SENIOR DATA ENGINEER,LEVI STRAUSS & CO.,SAN FRANCISCO,94111,3,2019,98.6,140051.7,1,small,1,0
361,DATA ANALYST,"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,2,2019,98.6,120137.9,0,small,1,0
362,DATA MANAGEMENT ENGINEER,"VUNGLE, INC.",SAN FRANCISCO,94111,2,2019,98.6,120137.9,1,small,1,0
363,SENIOR DATA ENGINEER,"SLACK TECHNOLOGIES, INC.",SAN FRANCISCO,94105,3,2019,98.6,140051.7,1,medium,1,0
364,DATA ENGINEERING TECH LEAD,"DIALPAD, INC.",SAN FRANCISCO,94111,2,2019,98.6,120137.9,1,small,1,0
365,SENIOR DATA ENGINEER,"XTGLOBAL, INC.,",SAN FRANCISCO,94109,2,2019,98.6,120137.9,1,small,1,0
366,DATA INFRASTRUCTURE ENGINEER,GM CRUISE LLC,SAN FRANCISCO,94103,2,2019,98.6,120137.9,1,small,1,0
367,DATA SCIENCE ENGINEER II,"SOJERN, INC.",SAN FRANCISCO,94111,2,2019,98.6,120137.9,1,small,1,0
368,DATA SCIENCE ENGINEER III,"SOJERN, INC.",SAN FRANCISCO,94111,2,2019,98.6,120137.9,1,small,1,0
369,DATA SCIENCE ENGINEER,"OPENTABLE, INC.",SAN FRANCISCO,94104,2,2019,98.6,120137.9,1,medium,1,0
370,DATA ENGINEER,"CHANGE.ORG, PBC",SAN FRANCISCO,94103,3,2019,98.6,140051.7,1,small,1,0
371,DATA SCIENTIST,BIZRATE INSIGHTS INC.,LOS ANGELES,90025,2,2019,73.9,134200.3,0,small,0,1
372,DATA ENGINEER,NOVANTAS,NEW YORK,10017,1,2019,100.0,77334.0,1,large,0,0
373,DATA ENGINEER,"MEDIABRANDS WORLDWIDE, INC.",SAN FRANCISCO,94111,3,2019,98.6,140051.7,1,medium,1,0
374,DATA ENGINEER,"AMITREE, INC.",SAN FRANCISCO,94103,3,2019,98.6,140051.7,1,large,1,0
375,SENIOR DATA ENGINEER,SKUPOS INC.,SAN FRANCISCO,94109,4,2019,98.6,159945.2,1,large,1,0
376,"SENIOR SOFTWARE ENGINEER, DATA STREAMING","CHANGE.ORG, PBC",SAN FRANCISCO,94103,4,2019,98.6,159945.2,1,small,1,0
377,DATA PLATFORM ENGINEER,"STITCH FIX, INC.",SAN FRANCISCO,94104,3,2019,98.6,140051.7,1,medium,1,0
378,DATA ENGINEER,"ABOUT, INC.",NEW YORK,10036,2,2019,100.0,99736.0,1,large,0,0
379,DATA SCIENCE ENGINEER,"ADROLL, INC.",SAN FRANCISCO,94110,2,2019,98.6,120137.9,1,large,1,0
380,DATA SCIENTIST,"TAPJOY, INC.",SAN FRANCISCO,94111,1,2019,98.6,100245.4,0,large,1,0
381,DATA SCIENCE ENGINEER,"TAPJOY, INC.",SAN FRANCISCO,94111,2,2019,98.6,120137.9,1,large,1,0
382,DATA SCIENCE ENGINEER,"STANDARD & POOR'S FINANCIAL SERVICES, LLC",NEW YORK,10041,2,2019,100.0,99736.0,1,medium,0,0
383,"DATA ENGINEER, DATA PLATFORM","ZENDESK, INC.",SAN FRANCISCO,94103,2,2019,98.6,120137.9,1,large,1,0
384,DATA ENGINEER,"MARKETING EVOLUTION, INC.",NEW YORK,10168,1,2019,100.0,77334.0,1,small,0,0
385,DATA ENGINEER,"MARKETING EVOLUTION, INC.",NEW YORK,10168,1,2019,100.0,77334.0,1,small,0,0
386,DATA ENGINEER,"MARKETING EVOLUTION, INC.",NEW YORK,10168,1,2019,100.0,77334.0,1,small,0,0
387,LEAD SOFTWARE ENGINEER - BIG DATA SERVICES,"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,4,2019,98.6,159945.2,1,small,1,0
388,ASSOCIATE DATA ENGINEER,"AURA, INC.",SAN FRANCISCO,94104,2,2019,98.6,120137.9,1,small,1,0
389,SOFTWARE ENGINEER - LOGS AND DATA 20509.6.1,"DMAI, INC.",LOS ANGELES,90024,3,2019,73.9,134200.3,1,small,0,1
390,DATABASE ADMINISTRATION SPECIALIST,NASDAQ STOCK MARKET LLC,NEW YORK,10036,2,2019,100.0,99736.0,0,small,0,0
391,SENIOR ENGINEER - DATA,"SLACK TECHNOLOGIES, INC.",SAN FRANCISCO,94105,4,2019,98.6,159945.2,1,medium,1,0
392,ASSOCIATE BIG DATA SPECIALIST,"AMAZON WEB SERVICES, INC.",NEW YORK,10001,1,2019,100.0,77334.0,0,large,0,0
393,"SOFTWARE ENGINEER, DATA","VUNGLE, INC.",SAN FRANCISCO,94111,2,2019,98.6,120137.9,1,small,1,0
394,SR. DATA ENGINEER: IT ECOMMERCE,LEVI STRAUSS &AMP; CO.,SAN FRANCISCO,94111,3,2019,98.6,140051.7,1,medium,1,0
